log_id,interaction_id,latency_ms,accuracy_score,sentiment,error_type,severity_level,flagged
L-5798,I-5798,499,0.98,Positive,None,Medium,No
L-5799,I-5799,235,0.92,Positive,Connection Error,High,Yes
L-5800,I-5800,568,0.85,Negative,API Error,High,No
L-5801,I-5801,519,0.92,Positive,None,Medium,No
L-5802,I-5802,382,0.9,Neutral,Connection Error,High,No
L-5803,I-5803,244,0.92,Neutral,Timeout,High,No
L-5804,I-5804,451,0.95,Negative,Timeout,Low,No
L-5805,I-5805,194,0.8,Positive,API Error,Low,No
L-5806,I-5806,43,0.85,Positive,API Error,Low,No
L-5807,I-5807,336,0.95,Neutral,Server Error,High,No
L-5808,I-5808,212,0.85,Positive,Token Limit Exceeded,Low,No
L-5809,I-5809,235,0.8,Positive,None,Low,Yes
L-5810,I-5810,181,0.8,Positive,None,Medium,No
L-5811,I-5811,507,0.92,Positive,Token Limit Exceeded,Low,No
L-5812,I-5812,360,0.9,Neutral,None,Low,No
L-5813,I-5813,605,0.85,Positive,Rate Limit,High,No
L-5814,I-5814,221,0.85,Neutral,None,Low,Yes
L-5815,I-5815,367,0.92,Neutral,Timeout,High,Yes
L-5816,I-5816,809,0.95,Positive,Timeout,High,No
L-5817,I-5817,582,0.8,Neutral,Token Limit Exceeded,Low,No
L-5818,I-5818,282,0.85,Positive,Connection Error,Low,No
L-5819,I-5819,429,0.85,Positive,None,Low,Yes
L-5820,I-5820,53,0.85,Neutral,None,High,Yes
L-5821,I-5821,60,0.92,Neutral,Token Limit Exceeded,High,No
L-5822,I-5822,187,0.95,Positive,Server Error,Low,No
L-5823,I-5823,419,0.98,Neutral,None,Medium,No
L-5824,I-5824,307,0.8,Negative,API Error,High,No
L-5825,I-5825,67,0.9,Negative,API Error,Critical,No
L-5826,I-5826,256,0.92,Positive,None,High,No
L-5827,I-5827,498,0.85,Positive,Validation Error,Low,Yes
L-5828,I-5828,125,0.85,Positive,Token Limit Exceeded,High,No
L-5829,I-5829,240,0.98,Neutral,None,Critical,No
L-5830,I-5830,964,0.95,Neutral,Rate Limit,Low,No
L-5831,I-5831,114,0.8,Negative,Connection Error,Medium,No
L-5832,I-5832,318,0.98,Neutral,Token Limit Exceeded,Low,No
L-5833,I-5833,589,0.92,Negative,Server Error,High,No
L-5834,I-5834,691,0.85,Negative,API Error,Medium,No
L-5835,I-5835,882,0.8,Positive,Connection Error,Critical,No
L-5836,I-5836,294,0.85,Positive,None,Medium,No
L-5837,I-5837,120,0.9,Negative,Token Limit Exceeded,Low,No
L-5838,I-5838,67,0.95,Negative,Timeout,Medium,No
L-5839,I-5839,49,0.9,Positive,Timeout,High,No
L-5840,I-5840,422,0.98,Positive,None,Medium,No
L-5841,I-5841,475,0.85,Positive,Rate Limit,Medium,Yes
L-5842,I-5842,267,0.95,Positive,Rate Limit,High,No
L-5843,I-5843,388,0.8,Neutral,Token Limit Exceeded,High,No
L-5844,I-5844,499,0.9,Negative,None,Low,No
L-5845,I-5845,318,0.95,Negative,Rate Limit,High,No
L-5846,I-5846,827,0.8,Positive,None,Medium,No
L-5847,I-5847,293,0.9,Negative,Validation Error,High,No
L-5848,I-5848,65,0.92,Positive,Server Error,Medium,No
L-5849,I-5849,392,0.85,Positive,Token Limit Exceeded,Medium,No
L-5850,I-5850,824,0.8,Neutral,API Error,Low,No
L-5851,I-5851,849,0.8,Positive,None,Low,Yes
L-5852,I-5852,592,0.98,Negative,Connection Error,High,No
L-5853,I-5853,71,0.95,Neutral,None,Critical,No
L-5854,I-5854,122,0.9,Negative,None,Low,No
L-5855,I-5855,196,0.8,Positive,Server Error,Low,No
L-5856,I-5856,394,0.85,Neutral,None,Critical,No
L-5857,I-5857,340,0.92,Positive,Token Limit Exceeded,Critical,No
L-5858,I-5858,722,0.95,Neutral,None,High,No
L-5859,I-5859,398,0.95,Positive,Validation Error,Low,No
L-5860,I-5860,594,0.98,Negative,Rate Limit,Critical,No
L-5861,I-5861,741,0.85,Neutral,Timeout,Critical,No
L-5862,I-5862,61,0.92,Negative,Timeout,Low,No
L-5863,I-5863,663,0.8,Negative,API Error,High,No
L-5864,I-5864,244,0.8,Neutral,API Error,Medium,No
L-5865,I-5865,330,0.85,Negative,None,Medium,No
L-5866,I-5866,408,0.9,Neutral,Server Error,Low,No
L-5867,I-5867,284,0.8,Neutral,None,Low,No
L-5868,I-5868,365,0.95,Negative,None,Critical,No
L-5869,I-5869,602,0.85,Positive,None,High,No
L-5870,I-5870,459,0.95,Positive,API Error,Low,No
L-5871,I-5871,60,0.95,Neutral,None,Low,No
L-5872,I-5872,624,0.98,Negative,Validation Error,Low,No
L-5873,I-5873,181,0.98,Positive,None,Medium,Yes
L-5874,I-5874,591,0.9,Neutral,None,Low,Yes
L-5875,I-5875,148,0.8,Neutral,Validation Error,Low,No
L-5876,I-5876,68,0.92,Positive,Token Limit Exceeded,Low,Yes
L-5877,I-5877,109,0.92,Negative,Server Error,Low,No
L-5878,I-5878,678,0.98,Positive,None,Low,No
L-5879,I-5879,509,0.98,Positive,Rate Limit,Low,No
L-5880,I-5880,558,0.9,Neutral,Rate Limit,Medium,Yes
L-5881,I-5881,458,0.92,Negative,Token Limit Exceeded,High,No
L-5882,I-5882,111,0.9,Positive,None,Critical,Yes
L-5883,I-5883,629,0.85,Negative,API Error,Medium,No
L-5884,I-5884,738,0.9,Positive,Rate Limit,Low,No
L-5885,I-5885,154,0.85,Positive,Token Limit Exceeded,Low,No
L-5886,I-5886,621,0.8,Neutral,API Error,High,No
L-5887,I-5887,681,0.9,Positive,API Error,High,No
L-5888,I-5888,151,0.98,Positive,None,Medium,No
L-5889,I-5889,136,0.9,Negative,Connection Error,Medium,No
L-5890,I-5890,226,0.9,Positive,Timeout,Low,No
L-5891,I-5891,332,0.8,Positive,Connection Error,Low,No
L-5892,I-5892,323,0.8,Positive,Server Error,Medium,No
L-5893,I-5893,358,0.8,Positive,Rate Limit,Low,No
L-5894,I-5894,69,0.9,Negative,Timeout,High,No
L-5895,I-5895,212,0.9,Positive,Timeout,Low,No
L-5896,I-5896,44,0.85,Neutral,Timeout,Low,Yes
L-5897,I-5897,159,0.95,Neutral,None,Medium,No
L-5898,I-5898,440,0.92,Positive,Timeout,Medium,No
L-5899,I-5899,93,0.8,Neutral,API Error,Low,No
L-5900,I-5900,216,0.92,Positive,None,High,No
L-5901,I-5901,803,0.98,Positive,Connection Error,Medium,No
L-5902,I-5902,769,0.92,Neutral,Connection Error,Low,No
L-5903,I-5903,537,0.9,Positive,Rate Limit,Low,No
L-5904,I-5904,358,0.98,Positive,Server Error,Medium,No
L-5905,I-5905,45,0.92,Negative,Connection Error,Low,Yes
L-5906,I-5906,659,0.92,Positive,Connection Error,Medium,No
L-5907,I-5907,26,0.98,Positive,Server Error,Low,No
L-5908,I-5908,156,0.92,Positive,None,Low,No
L-5909,I-5909,257,0.8,Positive,Rate Limit,Low,Yes
L-5910,I-5910,332,0.8,Positive,Validation Error,Medium,No
L-5911,I-5911,407,0.98,Neutral,Server Error,Low,No
L-5912,I-5912,747,0.95,Positive,API Error,Low,No
L-5913,I-5913,531,0.8,Positive,Timeout,Medium,No
L-5914,I-5914,139,0.92,Neutral,Connection Error,Critical,No
L-5915,I-5915,267,0.85,Negative,Server Error,Low,No
L-5916,I-5916,547,0.95,Positive,Server Error,High,No
L-5917,I-5917,409,0.92,Neutral,Token Limit Exceeded,Low,No
L-5918,I-5918,292,0.95,Positive,None,High,No
L-5919,I-5919,281,0.92,Neutral,None,Medium,No
L-5920,I-5920,125,0.9,Positive,Validation Error,Critical,No
L-5921,I-5921,70,0.8,Negative,None,Critical,No
L-5922,I-5922,598,0.92,Positive,Connection Error,Medium,No
L-5923,I-5923,618,0.92,Positive,Rate Limit,Medium,No
L-5924,I-5924,536,0.85,Negative,Connection Error,High,No
L-5925,I-5925,659,0.8,Neutral,Timeout,Low,No
L-5926,I-5926,561,0.92,Neutral,None,Low,Yes
L-5927,I-5927,259,0.8,Neutral,Token Limit Exceeded,Low,No
L-5928,I-5928,712,0.8,Positive,None,Medium,No
L-5929,I-5929,557,0.92,Positive,None,High,No
L-5930,I-5930,218,0.85,Positive,None,Low,No
L-5931,I-5931,945,0.95,Neutral,Validation Error,Low,No
L-5932,I-5932,83,0.92,Negative,None,Low,Yes
L-5933,I-5933,117,0.98,Positive,None,High,No
L-5934,I-5934,119,0.8,Positive,Connection Error,Low,No
L-5935,I-5935,279,0.9,Positive,Timeout,High,No
L-5936,I-5936,86,0.98,Positive,Token Limit Exceeded,Critical,No
L-5937,I-5937,289,0.92,Neutral,Rate Limit,Low,No
L-5938,I-5938,590,0.98,Positive,Connection Error,Medium,No
L-5939,I-5939,486,0.98,Neutral,API Error,Low,No
L-5940,I-5940,586,0.9,Neutral,Rate Limit,Medium,No
L-5941,I-5941,432,0.92,Positive,Server Error,Critical,No
L-5942,I-5942,483,0.95,Neutral,Timeout,Medium,No
L-5943,I-5943,144,0.8,Positive,None,High,No
L-5944,I-5944,298,0.9,Positive,None,Low,No
L-5945,I-5945,9,0.8,Negative,None,High,Yes
L-5946,I-5946,244,0.85,Neutral,Validation Error,Medium,No
L-5947,I-5947,395,0.85,Positive,Server Error,Low,No
L-5948,I-5948,33,0.85,Neutral,Timeout,High,No
L-5949,I-5949,288,0.92,Neutral,Validation Error,Medium,No
L-5950,I-5950,615,0.92,Neutral,None,Low,No
L-5951,I-5951,380,0.98,Neutral,Server Error,High,No
L-5952,I-5952,175,0.92,Positive,Server Error,Low,No
L-5953,I-5953,69,0.85,Positive,Token Limit Exceeded,High,Yes
L-5954,I-5954,146,0.95,Positive,None,High,No
L-5955,I-5955,517,0.8,Positive,Token Limit Exceeded,Medium,No
L-5956,I-5956,119,0.92,Positive,Rate Limit,High,No
L-5957,I-5957,250,0.9,Negative,API Error,High,No
L-5958,I-5958,484,0.8,Positive,Connection Error,Low,No
L-5959,I-5959,248,0.8,Positive,None,Low,Yes
L-5960,I-5960,523,0.92,Neutral,API Error,Medium,No
L-5961,I-5961,646,0.9,Positive,Connection Error,High,No
L-5962,I-5962,695,0.8,Negative,None,Low,No
L-5963,I-5963,733,0.9,Negative,Timeout,Medium,Yes
L-5964,I-5964,113,0.92,Positive,Token Limit Exceeded,Medium,Yes
L-5965,I-5965,478,0.92,Neutral,Timeout,High,No
L-5966,I-5966,32,0.98,Positive,None,Low,No
L-5967,I-5967,366,0.95,Positive,Server Error,Low,No
L-5968,I-5968,51,0.92,Positive,Timeout,Medium,No
L-5969,I-5969,695,0.9,Neutral,Validation Error,Critical,No
L-5970,I-5970,315,0.92,Neutral,Validation Error,High,No
L-5971,I-5971,645,0.98,Positive,None,Critical,No
L-5972,I-5972,774,0.8,Negative,Rate Limit,Medium,No
L-5973,I-5973,189,0.85,Positive,Server Error,High,Yes
L-5974,I-5974,453,0.8,Positive,Token Limit Exceeded,Medium,No
L-5975,I-5975,427,0.85,Positive,Rate Limit,Low,No
L-5976,I-5976,216,0.92,Positive,None,Medium,No
L-5977,I-5977,113,0.92,Negative,None,Low,Yes
L-5978,I-5978,105,0.92,Negative,Validation Error,Low,No
L-5979,I-5979,500,0.85,Positive,Timeout,Low,No
L-5980,I-5980,613,0.92,Negative,None,Low,No
L-5981,I-5981,676,0.85,Positive,None,Medium,No
L-5982,I-5982,407,0.8,Positive,Timeout,Medium,No
L-5983,I-5983,63,0.85,Neutral,Server Error,Critical,No
L-5984,I-5984,362,0.85,Positive,API Error,Low,No
L-5985,I-5985,26,0.85,Positive,Connection Error,High,No
L-5986,I-5986,744,0.92,Negative,Server Error,Medium,Yes
L-5987,I-5987,146,0.8,Positive,Validation Error,Low,No
L-5988,I-5988,424,0.95,Neutral,None,Low,No
L-5989,I-5989,176,0.9,Neutral,Server Error,Low,Yes
L-5990,I-5990,602,0.92,Negative,API Error,High,Yes
L-5991,I-5991,475,0.92,Negative,API Error,Critical,No
L-5992,I-5992,135,0.95,Positive,Rate Limit,Low,No
L-5993,I-5993,115,0.85,Neutral,Rate Limit,High,No
L-5994,I-5994,462,0.85,Neutral,API Error,Low,Yes
L-5995,I-5995,307,0.92,Negative,Connection Error,Medium,No
L-5996,I-5996,270,0.85,Neutral,None,Critical,No
L-5997,I-5997,277,0.8,Neutral,API Error,Low,No
L-5998,I-5998,91,0.85,Positive,Timeout,Medium,No
L-5999,I-5999,352,0.9,Positive,None,High,No
L-6000,I-6000,123,0.8,Positive,Validation Error,Critical,No
L-6001,I-6001,29,0.98,Positive,Timeout,Medium,No
L-6002,I-6002,134,0.8,Positive,None,Low,No
L-6003,I-6003,381,0.8,Neutral,Rate Limit,Medium,No
L-6004,I-6004,349,0.92,Positive,Connection Error,Low,No
L-6005,I-6005,518,0.8,Positive,None,Medium,No
L-6006,I-6006,40,0.85,Positive,Token Limit Exceeded,Low,No
L-6007,I-6007,667,0.92,Neutral,None,High,No
L-6008,I-6008,844,0.98,Neutral,Server Error,High,No
L-6009,I-6009,660,0.98,Neutral,Validation Error,High,No
L-6010,I-6010,165,0.85,Neutral,None,Medium,No
L-6011,I-6011,722,0.98,Positive,None,High,No
L-6012,I-6012,676,0.95,Positive,Timeout,Medium,No
L-6013,I-6013,453,0.8,Positive,None,Medium,No
L-6014,I-6014,239,0.8,Positive,API Error,High,No
L-6015,I-6015,373,0.9,Neutral,Rate Limit,High,No
L-6016,I-6016,361,0.8,Neutral,Rate Limit,Medium,No
L-6017,I-6017,95,0.9,Neutral,None,Critical,Yes
L-6018,I-6018,118,0.92,Positive,Validation Error,High,No
L-6019,I-6019,669,0.85,Negative,None,High,No
L-6020,I-6020,391,0.9,Neutral,None,Critical,Yes
L-6021,I-6021,377,0.98,Negative,None,High,No
L-6022,I-6022,629,0.98,Positive,Validation Error,High,Yes
L-6023,I-6023,61,0.95,Neutral,None,Low,Yes
L-6024,I-6024,40,0.85,Neutral,API Error,Critical,No
L-6025,I-6025,35,0.98,Neutral,None,Low,No
L-6026,I-6026,892,0.95,Positive,Validation Error,Low,Yes
L-6027,I-6027,116,0.92,Negative,Connection Error,Medium,No
L-6028,I-6028,446,0.8,Neutral,Server Error,Low,No
L-6029,I-6029,88,0.85,Positive,Rate Limit,Critical,No
L-6030,I-6030,536,0.8,Positive,API Error,High,Yes
L-6031,I-6031,378,0.9,Neutral,None,Medium,No
L-6032,I-6032,142,0.8,Neutral,Server Error,High,No
L-6033,I-6033,170,0.8,Neutral,None,Low,No
L-6034,I-6034,231,0.92,Positive,Validation Error,Critical,Yes
L-6035,I-6035,113,0.85,Neutral,Token Limit Exceeded,Low,No
L-6036,I-6036,21,0.95,Neutral,Timeout,Low,No
L-6037,I-6037,440,0.9,Positive,Timeout,Critical,No
L-6038,I-6038,45,0.95,Neutral,Validation Error,Critical,Yes
L-6039,I-6039,173,0.92,Neutral,API Error,Medium,No
L-6040,I-6040,39,0.92,Positive,None,Low,No
L-6041,I-6041,490,0.8,Neutral,None,Medium,Yes
L-6042,I-6042,459,0.92,Positive,Server Error,Critical,No
L-6043,I-6043,527,0.8,Positive,Server Error,Critical,No
L-6044,I-6044,280,0.92,Positive,None,Medium,No
L-6045,I-6045,407,0.9,Positive,Server Error,Critical,No
L-6046,I-6046,139,0.95,Neutral,None,Low,Yes
L-6047,I-6047,222,0.8,Neutral,Connection Error,Critical,No
L-6048,I-6048,256,0.9,Positive,Timeout,Low,No
L-6049,I-6049,104,0.85,Neutral,API Error,Low,No
L-6050,I-6050,213,0.92,Negative,Rate Limit,Low,Yes
L-6051,I-6051,85,0.98,Positive,API Error,Medium,No
L-6052,I-6052,86,0.9,Positive,Timeout,High,No
L-6053,I-6053,158,0.95,Neutral,None,Low,No
L-6054,I-6054,839,0.8,Positive,Token Limit Exceeded,Low,No
L-6055,I-6055,486,0.8,Positive,Validation Error,High,No
L-6056,I-6056,701,0.98,Positive,Token Limit Exceeded,High,No
L-6057,I-6057,460,0.92,Neutral,None,Medium,No
L-6058,I-6058,718,0.9,Positive,None,High,No
L-6059,I-6059,132,0.92,Positive,None,Medium,No
L-6060,I-6060,409,0.98,Positive,None,Critical,Yes
L-6061,I-6061,163,0.8,Negative,None,Low,No
L-6062,I-6062,594,0.95,Positive,Validation Error,Critical,No
L-6063,I-6063,136,0.9,Neutral,Rate Limit,Medium,No
L-6064,I-6064,509,0.9,Positive,None,Low,Yes
L-6065,I-6065,449,0.85,Positive,Rate Limit,High,No
L-6066,I-6066,238,0.92,Neutral,None,Low,No
L-6067,I-6067,207,0.85,Positive,Rate Limit,Critical,No
L-6068,I-6068,51,0.8,Negative,None,Medium,No
L-6069,I-6069,246,0.9,Positive,Token Limit Exceeded,Low,Yes
L-6070,I-6070,413,0.92,Neutral,Timeout,High,No
L-6071,I-6071,63,0.95,Negative,API Error,Low,Yes
L-6072,I-6072,224,0.8,Positive,Server Error,Critical,No
L-6073,I-6073,188,0.85,Positive,Token Limit Exceeded,Medium,No
L-6074,I-6074,163,0.95,Positive,Validation Error,High,No
L-6075,I-6075,55,0.8,Positive,Timeout,High,No
L-6076,I-6076,832,0.8,Positive,Timeout,High,No
L-6077,I-6077,234,0.8,Neutral,None,High,No
L-6078,I-6078,53,0.98,Neutral,None,Low,No
L-6079,I-6079,140,0.95,Positive,None,Critical,Yes
L-6080,I-6080,209,0.92,Neutral,Timeout,Critical,No
L-6081,I-6081,506,0.85,Neutral,Server Error,Low,No
L-6082,I-6082,54,0.8,Positive,Rate Limit,Medium,No
L-6083,I-6083,207,0.9,Positive,None,High,No
L-6084,I-6084,201,0.9,Neutral,Timeout,High,No
L-6085,I-6085,238,0.98,Neutral,None,Medium,No
L-6086,I-6086,325,0.9,Positive,Token Limit Exceeded,Critical,No
L-6087,I-6087,213,0.9,Positive,API Error,High,No
L-6088,I-6088,410,0.9,Positive,Token Limit Exceeded,Low,No
L-6089,I-6089,599,0.98,Positive,None,Medium,No
L-6090,I-6090,595,0.98,Negative,Validation Error,Low,No
L-6091,I-6091,41,0.85,Negative,Server Error,Low,No
L-6092,I-6092,330,0.9,Neutral,Token Limit Exceeded,Low,No
L-6093,I-6093,406,0.8,Positive,None,Low,No
L-6094,I-6094,482,0.9,Positive,Token Limit Exceeded,High,No
L-6095,I-6095,422,0.8,Neutral,Server Error,Low,No
L-6096,I-6096,123,0.92,Negative,None,Low,No
L-6097,I-6097,590,0.8,Positive,None,High,No
L-6098,I-6098,301,0.8,Neutral,Connection Error,Low,No
L-6099,I-6099,312,0.95,Positive,Rate Limit,Critical,No
L-6100,I-6100,447,0.92,Negative,None,Low,No
L-6101,I-6101,60,0.9,Neutral,Connection Error,Low,Yes
L-6102,I-6102,365,0.9,Positive,Token Limit Exceeded,Critical,No
L-6103,I-6103,199,0.95,Positive,API Error,Medium,No
L-6104,I-6104,388,0.85,Neutral,Connection Error,Low,No
L-6105,I-6105,579,0.9,Neutral,Token Limit Exceeded,High,No
L-6106,I-6106,431,0.92,Neutral,API Error,High,No
L-6107,I-6107,34,0.85,Neutral,Validation Error,Low,Yes
L-6108,I-6108,213,0.85,Positive,Timeout,High,No
L-6109,I-6109,267,0.92,Positive,API Error,Medium,No
L-6110,I-6110,635,0.85,Neutral,Timeout,Low,No
L-6111,I-6111,593,0.95,Positive,API Error,Low,Yes
L-6112,I-6112,503,0.8,Negative,Token Limit Exceeded,Critical,No
L-6113,I-6113,136,0.98,Positive,Timeout,High,No
L-6114,I-6114,146,0.95,Neutral,Token Limit Exceeded,High,No
L-6115,I-6115,496,0.9,Neutral,Server Error,Low,No
L-6116,I-6116,834,0.85,Negative,None,Low,No
L-6117,I-6117,223,0.92,Positive,Server Error,Low,No
L-6118,I-6118,138,0.92,Neutral,Server Error,Medium,No
L-6119,I-6119,122,0.8,Positive,Validation Error,Critical,No
L-6120,I-6120,543,0.8,Neutral,Rate Limit,High,No
L-6121,I-6121,457,0.85,Positive,API Error,High,No
L-6122,I-6122,53,0.8,Positive,None,Medium,No
L-6123,I-6123,32,0.92,Neutral,None,Medium,No
L-6124,I-6124,152,0.9,Positive,API Error,Medium,Yes
L-6125,I-6125,334,0.8,Neutral,Connection Error,Low,Yes
L-6126,I-6126,807,0.85,Positive,None,Medium,No
L-6127,I-6127,371,0.92,Neutral,Server Error,High,No
L-6128,I-6128,34,0.98,Neutral,Server Error,Low,No
L-6129,I-6129,250,0.8,Positive,None,Medium,Yes
L-6130,I-6130,89,0.92,Neutral,Token Limit Exceeded,Critical,No
L-6131,I-6131,721,0.9,Positive,API Error,Low,No
L-6132,I-6132,410,0.8,Positive,None,High,No
L-6133,I-6133,208,0.95,Positive,Token Limit Exceeded,Medium,No
L-6134,I-6134,16,0.98,Neutral,Server Error,Medium,No
L-6135,I-6135,107,0.92,Positive,Server Error,Low,No
L-6136,I-6136,160,0.85,Neutral,Validation Error,Medium,No
L-6137,I-6137,774,0.8,Negative,API Error,Critical,No
L-6138,I-6138,279,0.92,Neutral,Rate Limit,Critical,No
L-6139,I-6139,118,0.95,Positive,Server Error,Medium,Yes
L-6140,I-6140,64,0.98,Neutral,None,Low,No
L-6141,I-6141,936,0.95,Positive,None,Low,No
L-6142,I-6142,748,0.92,Positive,Rate Limit,Medium,No
L-6143,I-6143,496,0.92,Positive,Server Error,Medium,No
L-6144,I-6144,302,0.85,Positive,None,High,No
L-6145,I-6145,956,0.95,Negative,Timeout,Low,No
L-6146,I-6146,456,0.85,Neutral,Validation Error,Medium,No
L-6147,I-6147,212,0.98,Neutral,Server Error,Low,No
L-6148,I-6148,843,0.92,Neutral,Timeout,Low,No
L-6149,I-6149,487,0.8,Positive,Connection Error,Medium,No
L-6150,I-6150,51,0.92,Neutral,API Error,High,No
L-6151,I-6151,380,0.98,Positive,Token Limit Exceeded,Low,Yes
L-6152,I-6152,213,0.85,Positive,Validation Error,Low,No
L-6153,I-6153,206,0.9,Positive,Rate Limit,Low,No
L-6154,I-6154,333,0.9,Negative,API Error,Low,No
L-6155,I-6155,159,0.9,Positive,Rate Limit,High,Yes
L-6156,I-6156,597,0.98,Positive,Server Error,Critical,No
L-6157,I-6157,418,0.85,Positive,Server Error,Low,Yes
L-6158,I-6158,246,0.8,Neutral,Validation Error,Critical,No
L-6159,I-6159,451,0.92,Neutral,Validation Error,Medium,No
L-6160,I-6160,218,0.98,Negative,Validation Error,Low,Yes
L-6161,I-6161,233,0.95,Neutral,API Error,High,Yes
L-6162,I-6162,286,0.8,Negative,Validation Error,Low,No
L-6163,I-6163,370,0.95,Positive,Token Limit Exceeded,High,No
L-6164,I-6164,233,0.92,Positive,Timeout,Medium,No
L-6165,I-6165,557,0.8,Negative,Validation Error,High,No
L-6166,I-6166,148,0.8,Positive,Rate Limit,Medium,Yes
L-6167,I-6167,550,0.92,Neutral,Timeout,Low,No
L-6168,I-6168,406,0.98,Positive,Timeout,Medium,No
L-6169,I-6169,44,0.92,Positive,Connection Error,High,Yes
L-6170,I-6170,477,0.95,Positive,Rate Limit,Low,No
L-6171,I-6171,662,0.85,Negative,None,High,Yes
L-6172,I-6172,339,0.92,Negative,Validation Error,Low,No
L-6173,I-6173,756,0.9,Neutral,None,Low,No
L-6174,I-6174,304,0.98,Neutral,API Error,Low,No
L-6175,I-6175,141,0.8,Neutral,Server Error,High,No
L-6176,I-6176,511,0.85,Positive,Timeout,Medium,No
L-6177,I-6177,31,0.85,Positive,None,Medium,Yes
L-6178,I-6178,378,0.9,Neutral,Validation Error,Low,Yes
L-6179,I-6179,543,0.92,Positive,Rate Limit,High,No
L-6180,I-6180,439,0.9,Negative,Server Error,Critical,No
L-6181,I-6181,573,0.85,Neutral,Token Limit Exceeded,Low,No
L-6182,I-6182,211,0.95,Positive,API Error,Medium,No
L-6183,I-6183,123,0.8,Positive,None,High,No
L-6184,I-6184,428,0.85,Neutral,Connection Error,High,No
L-6185,I-6185,791,0.92,Positive,Rate Limit,Medium,No
L-6186,I-6186,593,0.92,Negative,API Error,Low,No
L-6187,I-6187,701,0.95,Positive,Connection Error,High,No
L-6188,I-6188,227,0.8,Positive,Rate Limit,Medium,No
L-6189,I-6189,692,0.98,Negative,None,High,No
L-6190,I-6190,289,0.92,Neutral,None,Medium,Yes
L-6191,I-6191,449,0.85,Positive,Validation Error,High,No
L-6192,I-6192,377,0.9,Neutral,Rate Limit,Low,No
L-6193,I-6193,800,0.98,Negative,None,Low,No
L-6194,I-6194,282,0.95,Neutral,API Error,High,Yes
L-6195,I-6195,304,0.98,Positive,API Error,Medium,No
L-6196,I-6196,771,0.9,Positive,Rate Limit,High,No
L-6197,I-6197,124,0.95,Positive,API Error,Low,No
L-6198,I-6198,315,0.95,Neutral,Timeout,Medium,No
L-6199,I-6199,120,0.9,Positive,Validation Error,Low,No
L-6200,I-6200,90,0.9,Negative,Token Limit Exceeded,High,No
L-6201,I-6201,444,0.85,Neutral,Token Limit Exceeded,Low,No
L-6202,I-6202,841,0.8,Positive,Connection Error,High,No
L-6203,I-6203,319,0.9,Positive,Rate Limit,High,No
L-6204,I-6204,72,0.92,Negative,Connection Error,Critical,No
L-6205,I-6205,100,0.85,Negative,None,Low,No
L-6206,I-6206,239,0.9,Neutral,Validation Error,Medium,No
L-6207,I-6207,531,0.85,Neutral,Timeout,Low,No
L-6208,I-6208,139,0.98,Neutral,Server Error,Medium,No
L-6209,I-6209,169,0.8,Neutral,Timeout,Low,No
L-6210,I-6210,408,0.9,Positive,Validation Error,Medium,No
L-6211,I-6211,418,0.9,Neutral,None,Medium,No
L-6212,I-6212,311,0.95,Positive,Connection Error,High,Yes
L-6213,I-6213,118,0.85,Positive,None,High,Yes
L-6214,I-6214,303,0.95,Positive,None,High,No
L-6215,I-6215,302,0.85,Positive,None,Medium,No
L-6216,I-6216,728,0.92,Negative,Connection Error,Low,No
L-6217,I-6217,87,0.85,Neutral,Timeout,Low,No
L-6218,I-6218,705,0.85,Positive,None,Medium,No
L-6219,I-6219,787,0.85,Positive,Validation Error,Critical,No
L-6220,I-6220,467,0.85,Positive,Rate Limit,Medium,No
L-6221,I-6221,212,0.8,Positive,API Error,Critical,No
L-6222,I-6222,114,0.95,Negative,Timeout,Low,No
L-6223,I-6223,221,0.85,Positive,None,Medium,Yes
L-6224,I-6224,280,0.95,Positive,None,Medium,No
L-6225,I-6225,547,0.98,Negative,None,Low,No
L-6226,I-6226,611,0.92,Negative,Rate Limit,Medium,No
L-6227,I-6227,467,0.8,Neutral,API Error,Low,No
L-6228,I-6228,151,0.9,Positive,Validation Error,High,No
L-6229,I-6229,283,0.9,Positive,API Error,Critical,No
L-6230,I-6230,168,0.92,Negative,None,Medium,No
L-6231,I-6231,68,0.85,Neutral,None,Low,No
L-6232,I-6232,246,0.92,Negative,Validation Error,Critical,No
L-6233,I-6233,357,0.95,Negative,Token Limit Exceeded,Medium,No
L-6234,I-6234,274,0.9,Positive,Server Error,Low,No
L-6235,I-6235,55,0.95,Positive,None,Low,No
L-6236,I-6236,51,0.85,Negative,None,Low,No
L-6237,I-6237,225,0.92,Negative,None,Critical,No
L-6238,I-6238,88,0.9,Positive,API Error,Critical,Yes
L-6239,I-6239,201,0.9,Negative,Timeout,Medium,No
L-6240,I-6240,367,0.8,Positive,Rate Limit,High,Yes
L-6241,I-6241,46,0.85,Negative,None,High,No
L-6242,I-6242,421,0.98,Neutral,Token Limit Exceeded,Critical,Yes
L-6243,I-6243,211,0.95,Positive,Connection Error,High,No
L-6244,I-6244,40,0.8,Negative,Validation Error,High,Yes
L-6245,I-6245,271,0.9,Neutral,None,Medium,No
L-6246,I-6246,174,0.85,Neutral,Server Error,Medium,Yes
L-6247,I-6247,805,0.95,Neutral,Connection Error,Low,No
L-6248,I-6248,523,0.95,Neutral,Validation Error,Medium,Yes
L-6249,I-6249,46,0.8,Positive,Server Error,High,No
L-6250,I-6250,477,0.85,Negative,None,Medium,No
